#	Proyecto: Control de un Quadrotor por VA
#	Datos para la gráfica en GNUplot.

#	Error X	    	Error Y	 	Altura		Alt. Ref	Yaw
350	0.000000	0.000000	-7.000000	1000.000000	0.000000
351	0.000000	0.000000	-7.000000	1000.000000	0.000000
352	0.000000	0.000000	-7.000000	1000.000000	0.000000
353	0.000000	0.000000	-7.000000	1000.000000	0.000000
354	0.000000	0.000000	-6.000000	1000.000000	0.000000
355	0.000000	0.000000	-6.000000	1000.000000	0.000000
356	0.000000	0.000000	-6.000000	1000.000000	0.000000
357	0.000000	0.000000	-6.000000	1000.000000	0.000000
358	0.000000	0.000000	-6.000000	1000.000000	0.000000
359	0.000000	0.000000	-6.000000	1000.000000	0.000000
360	0.000000	0.000000	-6.000000	1000.000000	0.000000
361	0.000000	0.000000	-6.000000	1000.000000	0.000000
362	0.000000	0.000000	-6.000000	1000.000000	0.000000
363	0.000000	0.000000	-6.000000	1000.000000	0.000000
364	0.000000	0.000000	-6.000000	1000.000000	0.000000
365	0.000000	0.000000	-6.000000	1000.000000	0.000000
366	0.000000	0.000000	-6.000000	1000.000000	0.000000
367	0.000000	0.000000	-6.000000	1000.000000	0.000000
368	0.000000	0.000000	-6.000000	1000.000000	0.000000
369	0.000000	0.000000	-6.000000	1000.000000	0.000000
370	0.000000	0.000000	-6.000000	1000.000000	0.000000
371	0.000000	0.000000	-6.000000	1000.000000	0.000000
372	0.000000	0.000000	-6.000000	1000.000000	0.000000
373	0.000000	0.000000	-6.000000	1000.000000	0.000000
374	0.000000	0.000000	-6.000000	1000.000000	0.000000
375	0.000000	0.000000	-7.000000	1000.000000	0.000000
376	0.000000	0.000000	-7.000000	1000.000000	0.000000
377	0.000000	0.000000	-6.000000	1000.000000	0.000000
378	0.000000	0.000000	-6.000000	1000.000000	0.000000
379	0.000000	0.000000	-7.000000	1000.000000	0.000000
380	0.000000	0.000000	-7.000000	1000.000000	0.000000
381	0.000000	0.000000	-7.000000	1000.000000	0.000000
382	0.000000	0.000000	-7.000000	1000.000000	0.000000
383	0.000000	0.000000	-7.000000	1000.000000	0.000000
384	0.000000	0.000000	-7.000000	1000.000000	0.000000
385	0.000000	0.000000	-8.000000	1000.000000	0.000000
386	0.000000	0.000000	-8.000000	1000.000000	0.000000
387	0.000000	0.000000	-5.000000	1000.000000	0.000000
388	0.000000	0.000000	-5.000000	1000.000000	0.000000
389	0.000000	0.000000	-5.000000	1000.000000	0.000000
390	0.000000	0.000000	-5.000000	1000.000000	0.000000
391	0.000000	0.000000	-5.000000	1000.000000	0.000000
392	0.000000	0.000000	-5.000000	1000.000000	0.000000
393	0.000000	0.000000	-8.000000	1000.000000	0.000000
394	0.000000	0.000000	-8.000000	1000.000000	0.000000
395	0.000000	0.000000	-5.000000	1000.000000	0.000000
396	0.000000	0.000000	-5.000000	1000.000000	0.000000
397	0.000000	0.000000	-8.000000	1000.000000	0.000000
398	0.000000	0.000000	-8.000000	1000.000000	0.000000
399	0.000000	0.000000	-7.000000	1000.000000	0.000000
400	0.000000	0.000000	-7.000000	1000.000000	0.000000
401	0.000000	0.000000	-6.000000	1000.000000	0.000000
402	0.000000	0.000000	-6.000000	1000.000000	0.000000
403	0.000000	0.000000	-6.000000	1000.000000	0.000000
404	0.000000	0.000000	-6.000000	1000.000000	0.000000
405	0.000000	0.000000	-8.000000	1000.000000	0.000000
406	0.000000	0.000000	-8.000000	1000.000000	0.000000
407	0.000000	0.000000	-7.000000	1000.000000	0.000000
408	0.000000	0.000000	-7.000000	1000.000000	0.000000
409	0.000000	0.000000	-7.000000	1000.000000	0.000000
410	0.000000	0.000000	-7.000000	1000.000000	0.000000
411	0.000000	0.000000	-6.000000	1000.000000	0.000000
412	0.000000	0.000000	-6.000000	1000.000000	0.000000
413	0.000000	0.000000	-6.000000	1000.000000	0.000000
414	0.000000	0.000000	-6.000000	1000.000000	0.000000
415	0.000000	0.000000	-3.000000	1000.000000	0.000000
416	0.000000	0.000000	-3.000000	1000.000000	0.000000
417	0.000000	0.000000	1.000000	1000.000000	0.000000
418	0.000000	0.000000	1.000000	1000.000000	0.000000
419	0.000000	0.000000	8.000000	1000.000000	0.000000
420	0.000000	0.000000	8.000000	1000.000000	0.000000
421	0.000000	0.000000	12.000000	1000.000000	0.000000
422	0.000000	0.000000	12.000000	1000.000000	0.000000
423	0.000000	0.000000	21.000000	1000.000000	0.000000
424	0.000000	0.000000	21.000000	1000.000000	0.000000
425	0.000000	0.000000	31.000000	1000.000000	0.000000
426	0.000000	0.000000	31.000000	1000.000000	0.000000
427	0.000000	0.000000	43.000000	1000.000000	0.000000
428	0.000000	0.000000	43.000000	1000.000000	0.000000
429	0.000000	0.000000	58.000000	1000.000000	0.000000
430	0.000000	0.000000	58.000000	1000.000000	0.000000
431	0.000000	0.000000	77.000000	1000.000000	0.000000
432	0.000000	0.000000	77.000000	1000.000000	0.000000
433	0.000000	0.000000	94.000000	1000.000000	0.000000
434	0.000000	0.000000	94.000000	1000.000000	0.000000
435	0.000000	0.000000	115.000000	1000.000000	0.000000
436	0.000000	0.000000	115.000000	1000.000000	0.000000
437	0.000000	0.000000	132.000000	1000.000000	0.000000
438	0.000000	0.000000	132.000000	1000.000000	0.000000
439	0.000000	0.000000	149.000000	1000.000000	0.000000
440	0.000000	0.000000	149.000000	1000.000000	0.000000
441	0.000000	0.000000	169.000000	1000.000000	0.000000
442	0.000000	0.000000	169.000000	1000.000000	0.000000
443	0.000000	0.000000	183.000000	1000.000000	0.000000
444	0.000000	0.000000	183.000000	1000.000000	0.000000
445	0.000000	0.000000	202.000000	1000.000000	0.000000
446	0.000000	0.000000	202.000000	1000.000000	0.000000
447	0.000000	0.000000	214.000000	1000.000000	0.000000
448	0.000000	0.000000	214.000000	1000.000000	0.000000
449	0.000000	0.000000	228.000000	1000.000000	0.000000
450	0.000000	0.000000	228.000000	1000.000000	0.000000
451	0.000000	0.000000	237.000000	1000.000000	0.000000
452	0.000000	0.000000	237.000000	1000.000000	0.000000
453	0.000000	0.000000	254.000000	1000.000000	0.000000
454	0.000000	0.000000	254.000000	1000.000000	0.000000
455	0.000000	0.000000	258.000000	1000.000000	0.000000
456	0.000000	0.000000	258.000000	1000.000000	0.000000
457	0.000000	0.000000	266.000000	1000.000000	0.000000
458	0.000000	0.000000	266.000000	1000.000000	0.000000
459	0.000000	0.000000	272.000000	1000.000000	0.000000
460	0.000000	0.000000	272.000000	1000.000000	0.000000
461	0.000000	0.000000	276.000000	1000.000000	0.000000
462	0.000000	0.000000	276.000000	1000.000000	0.000000
463	0.000000	0.000000	286.000000	1000.000000	0.000000
464	0.000000	0.000000	286.000000	1000.000000	0.000000
465	0.000000	0.000000	287.000000	1000.000000	0.000000
466	0.000000	0.000000	287.000000	1000.000000	0.000000
467	0.000000	0.000000	295.000000	1000.000000	0.000000
468	0.000000	0.000000	295.000000	1000.000000	0.000000
469	0.000000	0.000000	298.000000	1000.000000	0.000000
470	0.000000	0.000000	298.000000	1000.000000	0.000000
471	0.000000	0.000000	304.000000	1000.000000	0.000000
472	0.000000	0.000000	304.000000	1000.000000	0.000000
473	0.000000	0.000000	309.000000	1000.000000	0.000000
474	0.000000	0.000000	309.000000	1000.000000	0.000000
475	0.000000	0.000000	316.000000	1000.000000	0.000000
476	0.000000	0.000000	316.000000	1000.000000	0.000000
477	0.000000	0.000000	323.000000	1000.000000	0.000000
478	0.000000	0.000000	323.000000	1000.000000	0.000000
479	0.000000	0.000000	329.000000	1000.000000	0.000000
480	0.000000	0.000000	329.000000	1000.000000	0.000000
481	0.000000	0.000000	332.000000	1000.000000	0.000000
482	0.000000	0.000000	332.000000	1000.000000	0.000000
483	0.000000	0.000000	339.000000	1000.000000	0.000000
484	0.000000	0.000000	339.000000	1000.000000	0.000000
485	0.000000	0.000000	348.000000	1000.000000	0.000000
486	0.000000	0.000000	348.000000	1000.000000	0.000000
487	0.000000	0.000000	359.000000	1000.000000	0.000000
